,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Billy Joel,It's Still Rock and Roll to Me,0.737,0.73,0.0,-5.149,1.0,0.144,0.168,5.11e-06,0.0912,0.575,140.398,177373.0,4.0
1,Billy Joel,You May Be Right,0.564,0.975,9.0,-4.113,1.0,0.0493,0.217,2.06e-06,0.334,0.964,150.459,253787.0,4.0
2,Billy Joel,Pressure,0.526,0.783,9.0,-5.925,0.0,0.0587,0.0225,0.000253,0.102,0.795,148.584,280213.0,4.0
3,Billy Joel,The Longest Time,0.637,0.395,3.0,-7.355,1.0,0.0255,0.187,0.0,0.08,0.602,84.079,219333.0,4.0
4,Billy Joel,Tell Her About It,0.689,0.913,8.0,-3.94,1.0,0.0839,0.00808,0.0,0.273,0.783,90.992,230453.0,4.0
5,Billy Joel,We Didn't Start the Fire,0.706,0.973,7.0,-4.536,1.0,0.054,0.0972,0.0,0.356,0.901,144.826,291053.0,4.0
6,Billy Joel,Only the Good Die Young,0.58,0.87,0.0,-6.144,1.0,0.164,0.158,0.0,0.0784,0.751,75.653,235227.0,4.0
7,Billy Joel,Movin' Out (Anthony's Song),0.668,0.89,2.0,-5.005,0.0,0.0329,0.45,1.94e-05,0.0545,0.893,133.876,209853.0,4.0
8,Billy Joel,New York State of Mind,0.496,0.401,0.0,-8.249,1.0,0.0343,0.481,2.47e-05,0.156,0.19,121.222,362547.0,4.0
9,Billy Joel,Piano Man,0.33,0.551,0.0,-6.506,1.0,0.0275,0.606,3.23e-06,0.187,0.414,177.654,339027.0,3.0
10,The Creepshow,Someday,0.501,0.968,0.0,-2.694,0.0,0.0743,0.00264,1.33e-05,0.218,0.569,106.095,176960.0,4.0
11,The Creepshow,They All Fall Down,0.577,0.896,10.0,-2.963,0.0,0.138,0.000331,0.000765,0.345,0.731,100.04,149213.0,4.0
12,The Creepshow,Sleep Tight,0.554,0.521,5.0,-4.499,1.0,0.0288,0.173,0.0,0.157,0.342,109.893,235213.0,3.0
13,The Creepshow,Keep Dreaming,0.394,0.989,1.0,-2.182,0.0,0.162,0.000147,0.00664,0.311,0.577,159.006,176653.0,4.0
14,The Creepshow,Going Down,0.512,0.952,4.0,-2.67,0.0,0.0678,0.000818,0.0028,0.392,0.563,115.045,164173.0,4.0
15,Mad Marge and the Stonecutters,Ode to the Devil,0.35,0.977,1.0,-3.08,1.0,0.112,0.00022,0.0589,0.083,0.461,142.045,283373.0,4.0
16,Mad Marge and the Stonecutters,Katie's Ghost,0.427,0.926,9.0,-4.086,0.0,0.0443,0.000457,6.62e-05,0.0817,0.786,77.641,307987.0,4.0
17,Linkin Park,Keys to the Kingdom,0.395,0.976,7.0,-4.553,1.0,0.137,0.00735,0.000222,0.379,0.334,184.011,218547.0,4.0
18,Linkin Park,All for Nothing (feat. Page Hamilton),0.461,0.958,4.0,-3.852,0.0,0.124,0.000203,9.33e-06,0.459,0.264,159.974,213653.0,4.0
19,Linkin Park,Guilty All the Same (feat. Rakim),0.566,0.969,2.0,-3.369,0.0,0.046,0.0287,0.000442,0.281,0.641,100.012,355120.0,4.0
20,Linkin Park,Wastelands,0.44,0.993,2.0,-3.481,0.0,0.184,0.0104,0.0,0.964,0.614,169.77,195893.0,4.0
21,Linkin Park,Until It's Gone,0.47,0.878,4.0,-3.391,0.0,0.0429,0.0172,0.054,0.235,0.322,114.986,233240.0,4.0
22,Linkin Park,Rebellion (feat. Daron Malakian),0.508,0.971,8.0,-3.027,1.0,0.0788,0.00145,0.0,0.62,0.325,130.023,224160.0,4.0
23,Linkin Park,LOST IN THE ECHO,0.546,0.98,9.0,-3.02,0.0,0.0619,0.0154,0.0,0.31,0.478,120.037,205120.0,4.0
24,Linkin Park,UNTIL IT BREAKS,0.316,0.835,2.0,-6.67,1.0,0.321,0.0489,0.000774,0.287,0.415,170.061,223400.0,4.0
25,Linkin Park,IN MY REMAINS,0.553,0.907,9.0,-5.623,0.0,0.0484,0.00401,0.0,0.266,0.451,100.967,200693.0,4.0
26,Linkin Park,BURN IT DOWN,0.585,0.972,9.0,-4.45,0.0,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253.0,4.0
27,Linkin Park,When They Come for Me,0.547,0.936,1.0,-4.232,1.0,0.049,0.00306,0.27,0.278,0.445,91.997,293453.0,4.0
