,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,"New Person, Same Old Mistakes",Tame Impala,spotify:track:52ojopYMUzeNcudsoz7O9D,0.752,0.533,-8.986,0.0347,0.149,5.13e-05,0.114,0.461,114.985,3
1,I Was Never There,The Weeknd,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,0.729,0.552,-12.22,0.366,0.8,0.00222,0.109,0.637,97.923,6
2,Under,Sampha,spotify:track:4NymlHYXIzso0S1TPWUSid,0.4,0.65,-6.104,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,4
3,All I Have - Intro,Snoh Aalegra,spotify:track:6iBWuaPa61mWphAvACYlDr,0.656,0.33,-8.771,0.162,0.818,0.00386,0.107,0.349,119.057,2
4,Pyramids,Frank Ocean,spotify:track:4QhWbupniDd44EDtnh2bFJ,0.59,0.602,-8.195,0.413,0.577,6.59e-06,0.643,0.72,121.986,6
5,Wings,Mac Miller,spotify:track:16umSNZfofRpDqTvf8DIAo,0.795,0.485,-7.365,0.293,0.443,1.47e-06,0.349,0.6,77.572,6
6,Silkk da Shocka (feat. Syd),Isaiah Rashad,spotify:track:5f6esnDQcBiFAm8iMfkw12,0.395,0.33,-10.924,0.0408,0.316,1.89e-05,0.268,0.102,98.813,2
7,Bootsy Bellows,Wiz Khalifa,spotify:track:1TFsOckh4vFv092jOS0SHj,0.738,0.535,-5.311,0.0459,0.0035,5.48e-06,0.104,0.34,123.985,1
8,Too Fast,Sonder,spotify:track:42QRyJd5x6e2TFR1S41g2p,0.457,0.553,-9.345,0.162,0.418,1.22e-06,0.113,0.448,89.905,2
9,Free,6LACK,spotify:track:4gFLcketBkdCcULMwZ1yHt,0.722,0.282,-7.484,0.106,0.373,0.00557,0.147,0.217,91.367,2
10,Nights,Frank Ocean,spotify:track:4Jle0Cjj88YkM7jbAjiFjf,0.537,0.558,-8.678,0.0929,0.263,0.91,0.102,0.505,131.037,5
11,Easy,Mac Ayres,spotify:track:58dSdjfEYNSxte1aNVxuNf,0.637,0.348,-10.394,0.119,0.112,2.86e-06,0.362,0.266,149.653,2
12,Chamber Of Reflection,Mac DeMarco,spotify:track:1MJ5f5EYBC92ADD6xcz7nb,0.589,0.279,-11.209,0.0408,0.911,0.000128,0.087,0.333,115.656,2
13,Genesis,Daniela Andrade,spotify:track:3Od7Qyp7sEit3sm3Zq4e7L,0.733,0.613,-6.366,0.0562,0.086,0.00122,0.0919,0.577,150.514,3
14,SUPERPOSITION,Daniel Caesar,spotify:track:45PxuJqJBnPXZKLxoo9Apj,0.568,0.714,-8.228,0.368,0.099,0.00522,0.116,0.508,150.024,6
15,Lost Kids Get Money,Brent Faiyaz,spotify:track:47y5boKoOnJoSpBpPEZvhz,0.498,0.625,-10.678,0.325,0.145,0.00481,0.113,0.403,129.779,6
16,Stuck in the Mud (feat. SZA),Isaiah Rashad,spotify:track:2eYY43d0V17SxOX0g7sBAD,0.391,0.595,-7.094,0.0411,0.913,0.00557,0.145,0.379,93.78,2
17,A.P.I.D.T.A.,Jay Electronica,spotify:track:5wJC8qlivbwAx29bnTecSn,0.449,0.599,-4.892,0.0369,0.211,0.0,0.327,0.165,134.144,1
18,Privilege,The Weeknd,spotify:track:26Fqtv4Aa7kyd1WWGHai6A,0.543,0.394,-9.637,0.0864,0.695,0.000239,0.108,0.118,137.811,2
19,Call Out My Name,The Weeknd,spotify:track:4MPTj8lMMvxLwT3EwuXFop,0.747,0.758,-4.743,0.179,0.0521,0.0,0.214,0.601,102.02,3
20,Nikes,Frank Ocean,spotify:track:19YKaevk2bce4odJkP5L22,0.669,0.284,-12.594,0.0693,0.664,0.00573,0.0659,0.178,79.943,2
21,Monks,Frank Ocean,spotify:track:0msrDPXxZpts4FRnoX0bFr,0.272,0.238,-12.148,0.0349,0.89,0.00925,0.275,0.119,83.507,2
22,Sometimes,Snoh Aalegra,spotify:track:2Yoi40YHBjbI2PycCeimJO,0.761,0.538,-9.03,0.101,0.00617,3.16e-06,0.481,0.451,89.029,1
